CONCEPTO_ID;DESCRIPCION;DESC_ABREVIADA;SENSIBLE_MAYUSCULA;CREAC_NOMBRE;ESTADO;REVISADO;CONSULTAR;OBSERVACION;SINONIMO;SCT_ID;SCT_TERMINO;GRUPOS_JERARQUICOS
7769114;alfadoxin;;Insensible;Manual;Vigente;;;;;;;
7769118;alfamino;;Insensible;Manual;Vigente;;;;;;;
7769124;alfin;;Insensible;Manual;Vigente;;;;;;;
7298573;algex;;Insensible;Manual;Vigente;;;;;;;
7769128;algiafin;;Insensible;Manual;Vigente;;;;;;;
7769131;algiasol;;Insensible;Manual;Vigente;;;;;;;
7298572;algifemin;;Insensible;Manual;Vigente;;;;;;;
5674082;alimta;;Sensible;Manual;Vigente;;;;;;;
7345529;alivax;;Insensible;Manual;Vigente;;;;;;;
5674084;alkeran;;Sensible;Manual;Vigente;;;;;;;
7769140;all out piojos;;Insensible;Manual;Vigente;;;;;;;
5674091;alledryl;;Sensible;Manual;Vigente;;;;;;;
5674100;allegra;;Sensible;Manual;Vigente;;;;;;;
7769144;almaxol;;Insensible;Manual;Vigente;;;;;;;
7769145;alodil;;Insensible;Manual;Vigente;;;;;;;
7769147;alondra;;Insensible;Manual;Vigente;;;;;;;
7769150;alopek;;Insensible;Manual;Vigente;;;;;;;
7722857;alpaz;;Insensible;Manual;Vigente;;;;;;;
7769154;alphacaine;;Insensible;Manual;Vigente;;;;;;;
7504130;alphagan;;Insensible;Manual;Vigente;;;;;;;
7769155;alsarkare;;Insensible;Manual;Vigente;;;;;;;
7769156;alsylax;;Insensible;Manual;Vigente;;;;;;;
5674104;altazinc;;Sensible;Manual;Vigente;;;;;;;
7769159;altesse;;Insensible;Manual;Vigente;;;;;;;
7769162;althera;;Insensible;Manual;Vigente;;;;;;;
5674113;altruline;;Sensible;Manual;Vigente;;;;;;;
7769165;amarilla;;Insensible;Manual;Vigente;;;;;;;
5674116;amaryl;;Sensible;Manual;Vigente;;;;;;;
7168040;amato;;Insensible;Manual;Vigente;;;;;;;
5674124;ambilan;;Sensible;Manual;Vigente;;;;;;;
