STK_CONCEPTO;CATEGORIA;CATEGORIA_TEXTO;ESTADO;VALIDADO;MODELADO;USUARIO_VALIDA;FECHA_VALIDA;CONSULTAR;OBSERVACION;COMERCIALIZADO;GRADO_DEFINICION;FECHA_REGISTRO;USUARIO_REGISTRO
120;404684003;Problemas;1;0;0;;;0;;0;;;
121;404684003;Problemas;1;0;0;;;0;;0;;;
122;404684003;Problemas;1;0;0;;;0;;0;;;
123;404684003;Problemas;1;0;0;;;0;;0;;;
124;404684003;Problemas;1;0;0;;;0;;0;;;
125;404684003;Problemas;1;0;0;;;0;;0;;;
126;404684003;Problemas;1;0;0;;;0;;0;;;
127;404684003;Problemas;1;0;0;;;0;;0;;;
128;404684003;Problemas;1;0;0;;;0;;0;;;
129;404684003;Problemas;1;0;0;;;0;;0;;;
130;404684003;Problemas;1;0;0;;;0;;0;;;
132;404684003;Problemas;1;0;0;;;0;;0;;;
133;404684003;Problemas;1;0;0;;;0;;0;;;
134;404684003;Problemas;1;0;0;;;0;;0;;;
135;404684003;Problemas;1;0;0;;;0;;0;;;
136;404684003;Problemas;1;0;0;;;0;;0;;;
137;404684003;Problemas;1;0;0;;;0;;0;;;
138;404684003;Problemas;1;0;0;;;0;;0;;;
139;404684003;Problemas;1;0;0;;;0;;0;;;
140;404684003;Problemas;1;0;0;;;0;;0;;;
141;404684003;Problemas;1;0;0;;;0;;0;;;
142;404684003;Problemas;1;0;0;;;0;;0;;;
143;404684003;Problemas;1;0;0;;;0;;0;;;
144;404684003;Problemas;1;0;0;;;0;;0;;;
145;404684003;Problemas;1;0;0;;;0;;0;;;
146;404684003;Problemas;1;0;0;;;0;;0;;;
147;404684003;Problemas;1;0;0;;;0;;0;;;
148;404684003;Problemas;1;0;0;;;0;;0;;;
149;404684003;Problemas;1;0;0;;;0;;0;;;
150;404684003;Problemas;1;0;0;;;0;;0;;;
151;404684003;Problemas;1;0;0;;;0;;0;;;
152;404684003;Problemas;1;0;0;;;0;;0;;;
153;404684003;Problemas;1;0;0;;;0;;0;;;
154;404684003;Problemas;1;0;0;;;0;;0;;;
155;404684003;Problemas;1;0;0;;;0;;0;;;
156;404684003;Problemas;1;0;0;;;0;;0;;;
157;404684003;Problemas;1;0;0;;;0;;0;;;
158;404684003;Problemas;1;0;0;;;0;;0;;;
159;404684003;Problemas;1;0;0;;;0;;0;;;
160;404684003;Problemas;1;0;0;;;0;;0;;;
161;404684003;Problemas;1;0;0;;;0;;0;;;
162;404684003;Problemas;1;0;0;;;0;;0;;;
163;404684003;Problemas;1;0;0;;;0;;0;;;
164;404684003;Problemas;1;0;0;;;0;;0;;;
165;404684003;Problemas;1;0;0;;;0;;0;;;
166;404684003;Problemas;1;0;0;;;0;;0;;;
167;404684003;Problemas;1;0;0;;;0;;0;;;
168;404684003;Problemas;1;0;0;;;0;;0;;;
169;404684003;Problemas;1;0;0;;;0;;0;;;
170;404684003;Problemas;1;0;0;;;0;;0;;;
171;404684003;Problemas;1;0;0;;;0;;0;;;
172;404684003;Problemas;1;0;0;;;0;;0;;;
173;404684003;Problemas;1;0;0;;;0;;0;;;
174;404684003;Problemas;1;0;0;;;0;;0;;;
175;404684003;Problemas;1;0;0;;;0;;0;;;
176;404684003;Problemas;1;0;0;;;0;;0;;;
177;404684003;Problemas;1;0;0;;;0;;0;;;
178;404684003;Problemas;1;0;0;;;0;;0;;;
180;404684003;Problemas;1;0;0;;;0;;0;;;
181;404684003;Problemas;1;0;0;;;0;;0;;;
182;404684003;Problemas;1;0;0;;;0;;0;;;
183;404684003;Problemas;1;0;0;;;0;;0;;;
184;404684003;Problemas;1;0;0;;;0;;0;;;
185;404684003;Problemas;1;0;0;;;0;;0;;;
186;404684003;Problemas;1;0;0;;;0;;0;;;
187;404684003;Problemas;1;0;0;;;0;;0;;;
188;404684003;Problemas;1;0;0;;;0;;0;;;
189;404684003;Problemas;1;0;0;;;0;;0;;;
190;404684003;Problemas;1;0;0;;;0;;0;;;
191;404684003;Problemas;1;0;0;;;0;;0;;;
192;404684003;Problemas;1;0;0;;;0;;0;;;
193;404684003;Problemas;1;0;0;;;0;;0;;;
194;404684003;Problemas;1;0;0;;;0;;0;;;
195;404684003;Problemas;1;0;0;;;0;;0;;;
196;404684003;Problemas;1;0;0;;;0;;0;;;
197;404684003;Problemas;1;0;0;;;0;;0;;;
198;404684003;Problemas;1;0;0;;;0;;0;;;
199;404684003;Problemas;1;0;0;;;0;;0;;;
200;404684003;Problemas;1;0;0;;;0;;0;;;
201;404684003;Problemas;1;0;0;;;0;;0;;;
202;404684003;Problemas;1;0;0;;;0;;0;;;
203;404684003;Problemas;1;0;0;;;0;;0;;;
204;404684003;Problemas;1;0;0;;;0;;0;;;
205;404684003;Problemas;1;0;0;;;0;;0;;;
206;404684003;Problemas;1;0;0;;;0;;0;;;
207;404684003;Problemas;1;0;0;;;0;;0;;;
208;404684003;Problemas;1;0;0;;;0;;0;;;
209;404684003;Problemas;1;0;0;;;0;;0;;;
210;404684003;Problemas;1;0;0;;;0;;0;;;
211;404684003;Problemas;1;0;0;;;0;;0;;;
212;404684003;Problemas;1;0;0;;;0;;0;;;
213;404684003;Problemas;1;0;0;;;0;;0;;;
214;404684003;Problemas;1;0;0;;;0;;0;;;
215;404684003;Problemas;1;0;0;;;0;;0;;;
216;404684003;Problemas;1;0;0;;;0;;0;;;
217;404684003;Problemas;1;0;0;;;0;;0;;;
218;404684003;Problemas;1;0;0;;;0;;0;;;
219;404684003;Problemas;1;0;0;;;0;;0;;;
220;404684003;Problemas;1;0;0;;;0;;0;;;
221;404684003;Problemas;1;0;0;;;0;;0;;;
222;404684003;Problemas;1;0;0;;;0;;0;;;
223;404684003;Problemas;1;0;0;;;0;;0;;;
224;404684003;Problemas;1;0;0;;;0;;0;;;
225;404684003;Problemas;1;0;0;;;0;;0;;;
226;404684003;Problemas;1;0;0;;;0;;0;;;
227;404684003;Problemas;1;0;0;;;0;;0;;;
228;404684003;Problemas;1;0;0;;;0;;0;;;
229;404684003;Problemas;1;0;0;;;0;;0;;;
230;404684003;Problemas;1;0;0;;;0;;0;;;
231;404684003;Problemas;1;0;0;;;0;;0;;;
232;404684003;Problemas;1;0;0;;;0;;0;;;
233;404684003;Problemas;1;0;0;;;0;;0;;;
234;404684003;Problemas;1;0;0;;;0;;0;;;
235;404684003;Problemas;1;0;0;;;0;;0;;;
236;404684003;Problemas;1;0;0;;;0;;0;;;
237;404684003;Problemas;1;0;0;;;0;;0;;;
238;404684003;Problemas;1;0;0;;;0;;0;;;
239;404684003;Problemas;1;0;0;;;0;;0;;;
240;404684003;Problemas;1;0;0;;;0;;0;;;
241;404684003;Problemas;1;0;0;;;0;;0;;;
242;404684003;Problemas;1;0;0;;;0;;0;;;
243;404684003;Problemas;1;0;0;;;0;;0;;;
244;404684003;Problemas;1;0;0;;;0;;0;;;
245;404684003;Problemas;1;0;0;;;0;;0;;;
246;404684003;Problemas;1;0;0;;;0;;0;;;
247;404684003;Problemas;1;0;0;;;0;;0;;;
249;404684003;Problemas;1;0;0;;;0;;0;;;
250;404684003;Problemas;1;0;0;;;0;;0;;;
